SMILES,density
*C*,0.9362
*CC(*)C,0.9031
*CC(*)CC,0.9
*CC(*)CCC,0.9
*CC(*)C(C)C,0.906
*CC(*)CCCC,0.854
*CC(*)CC(C)C,0.832
*CC(*)CCCCC,0.8354
*CC(*)CCC(C)C,0.855
*CC(*)CCC(C)CC,0.9
*CC(*)CCCCCCC,0.8418
*CC(*)CCCCCCCC,0.857
*CC(*)(C)C,0.912
*CCC(*)(C)C,0.8718
*CC(*)C1CC1,0.9805
*CC(*)C1CCCC1,0.97
*CC(*)CC1CCCC1,0.924
*CC(*)C1CCCCC1,0.944
*CC(*)CC1CCCCC1,0.926
*CC(*)Cc1ccccc1,1.051
*CC(*)CCc1ccccc1,1.045
*CC1CCC(*)C1,1.111
*CC(*)CCCCCC,0.85
*CC(*)CCCCCCCCCCCCCCCC,0.8969
*CC(*)C(C)CC,0.922
*CC(*)C(CC)CC,0.89
*CC(*)CC(CC)CC,0.86
*CC(*)CC(C)CC,0.9
*CC(*)CC(C)(C)C,0.85
*/C=C/CCC*,0.89
*/C=C/CC*,0.89
*C(*)C,0.9195
*/C=C/*,1.16
*CCC(C)C(*)C,0.9
*CCC1CCCC1*,1.01
*/C=C/CCCCCCCCCC*,0.995
*/C=C/CCCCCC*,1
*CC(*)CCCCCCCCCCC,0.8532
*CC(*)CCCCCCCCC,0.8489
*CC(*)C1CCCC(C)C1,0.9237
*CC(*)C1CCC(C)CC1,0.9249
*CC(*)C1CC=CCC1,1.128
*C1CCC1*,1.0475
*/C=C/CCCCC*,1.0295
*/C=C/C1CCC(*)C1,1.3
*CC/C=C(/*)CCC,0.935
*CC(*)c1ccccc1,1.048
*CC(*)c1ccccc1C,1.032
*CC(*)c1ccccc1F,1.29
*CC(*)c1cccc(C)c1,1.0285
*CC(*)c1ccc(C)cc1,1.016
*CC(*)c1ccc(C(C)(C)C)cc1,0.9479
*CC(*)c1ccc(Cl)cc1,1.2175
*CC(*)c1ccc(Br)cc1,1.408
*CC(*)c1ccc(F)cc1,1.2
*CC(*)c1ccc(OC)cc1,1.0635
*CC(*)c1c(C)cc(C)cc1C,1.168
*CC(*)c1cc(C)c(C)cc1C,0.996
*CC(*)(C)c1ccccc1,1.065
*CC(*)c1cccc2ccccc12,1.12
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748
*CC(*)c1ccc2ccccc2c1,1.108
*CC(*)c1ccncc1,1.1884
*CC(*)c1ccc(C)nc1,1.103
*CC(*)n1cc2ccccc2n1,1.23
*CC(*)c1ccc(O)cc1,1.18
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.116
*CC(*)O,1.3
*CC(*)OC(=O)CCCCCCCCCCC,0.897
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.891
*CC(*)C(C)=O,1.195
*CC(*)(C)C(C)=O,1.15
*CC(*)C#N,1.18
*CC(*)(C)C#N,1.13895
*CC(*)c1ccccn1,1.151
*CC(*)n1c2ccccc2c2ccccc21,1.18915
*CC(*)C[Si](C)(C)C,0.876
*CC(*)OC,1.05
*CC(*)OCC,0.968
*CC(*)OCCCC,0.9285
*CC(*)OCCCCC,0.918
*CC(*)OCCCCCC,0.9135
*CC(*)OCCCCCCCCCC,0.8815
*CC(*)OC(C)=O,1.185
*CC(*)OC(=O)CC,1.048
*CC(*)OC(=O)c1ccccc1,1.214
*CC(*)OCC(C)C,0.93
*CC(*)CCCN(C(C)C)C(C)C,0.889
*CC(*)CCCN(CC(C)C)CC(C)C,0.867
*CC(*)O[N+](=O)[O-],1.586
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1.4965
*CC(*)CC[Si](C)(C)C,0.898
*CC(*)OC=O,1.42
*CC(*)OC(C)(C)C,0.971
*CC(*)OC(C)C,0.93
*CC(*)(C)OC,1.0355
*CC(*)OCC(C)(C)C,0.91
*CC(*)OC(C)CC,0.9395
*CC(*)OC(=O)C(F)(F)F,1.55
*CC(*)OCCCCCCCCCCCC,0.892
*C1CC(*)(C#N)C1,1.1
*CC(*)Cc1cccc(C)c1,1.039
*CC(*)Cc1ccccc1C,1.031
*CC(*)Cc1ccc(C)cc1,1.035
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1.112
*CC/C=C(/*)c1ccccc1,1.063
*CC(*)OCC(CC)CCCC,0.9005
*CC(*)SCCCC,0.984
*CC(*)SC,1.184
*CC(*)OCCCCCCCC,0.9035
*CC(*)OCCC,0.94
*CC(*)OC(=O)CCCC(=O)c1ccccc1,0.851
*CC(*)OC(=O)C1CCCCC1,1.119
*CC(*)OC(=O)c1ccc(CC)cc1,1.145
*CC(*)OC(=O)c1ccncc1,1.288
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.198
*CC(*)OC(=O)c1ccc(C)cc1,1.163
*CC(*)OC(=O)c1cccnc1,1.296
*CC(*)OC(=O)CCCCCCC,0.939
*CC(*)OC(=O)CCl,1.46
*CC(*)[SiH2]CC,0.98
*CC(*)OC(=O)CCCCCCCCC,0.916
*CC(*)OC(=O)CCCCC,0.975
*C1Cc2ccccc2C1*,0.63
*CCC/C=C(/*)c1ccc(OC)cc1,1.083
*CCC/C=C(/*)c1ccccc1,1.04
*CCC/C=C(/*)c1ccc(Cl)cc1,1.173
*/C(C)=C(/*)[Si](C)(C)C,0.77
*CC(*)n1ccnc1,1.07
*CC(*)N1CCCC1=O,1.2
*CC(*)C(=O)O,1.42
*CC(*)C(=O)OC,1.214
*CC(*)C(=O)OCC,1.133
*CC(*)C(=O)OC(C)C,1.13
*CC(*)C(=O)OCCCC,1.074
*CC(*)C(=O)OCC(C)C,1.05
*CC(*)C(=O)OC(C)CC,1.413
*CC(*)C(=O)OC(C)(C)C,1.18
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,0.9754
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,0.9752
*CC(*)(C)C(=O)OC,1.19
*CC(*)(C)C(=O)OCC,1.11
*CC(*)(C)C(=O)OCCC,1.088
*CC(*)(C)C(=O)OC(C)C,1.0315
*CC(*)(C)C(=O)OCCCC,1.0562
*CC(*)(C)C(=O)OC(C)CC,1.052
*CC(*)(C)C(=O)OCC(C)C,1.04885
*CC(*)(C)C(=O)OC(C)(C)C,1.0215
*CC(*)(C)C(=O)OCCCCCC,1.028
*CC(*)(C)C(=O)OCCCCCCCC,0.998
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.984
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.9686
*CC(*)(C)C(=O)OC1CCCCC1,1.1075
*CC(*)(C)C(=O)Oc1ccccc1,1.24
*CC(*)(C)C(=O)OCc1ccccc1,1.1875
*CC(*)(C)C(=O)OCCCl,1.32
*CC(*)(C)C(=O)OCC(F)(F)F,1.4531
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1.496
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1.34
*CC(*)(C)C(=O)OCc1ccccc1Cl,1.23
*CC(*)(C)C(=O)OCCO,1.285
*CC(*)(C)C(=O)OCCOCC,1.169
*CC(*)(Cl)C(=O)OC,1.49
*CC(*)(Cl)C(=O)OCC,1.39
*CC(*)(Cl)C(=O)OC(C)CC,1.24
*CC(*)(Cl)C(=O)OC1CCCCC1,1.25
*CC(*)C(N)=O,1.21
*CC(*)C(=O)NC(C)C,1.159
*CC(*)C(=O)N(CCCC)CCCC,1.02
*CC(*)C(=O)OC1CCCCC1,1.104
*CC(*)(C)C(=O)OCCCCCCCCCC,0.9696
*CC(*)(Cl)C(=O)OCCC,1.3
*CC(*)(Cl)C(=O)OCCCC,1.24
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.043
*CC(*)C(=O)N1CCCCC1,0.99
*CC(*)C(=O)N1CCOCC1,1.238
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,1.236
*CC(*)(C)C(=O)OCCCCC,1.042
*CC(*)(C)C(=O)OCCC(C)(C)C,1
*CC(*)(C)C(=O)OC(C)C(C)(C)C,0.99
*CC(*)(C)C(=O)OCCOC,1.19
*CC(*)(C)C(=O)OCCOCCO,1.26
*CC(*)(C)C(=O)OCC(C)O,1.215
*CC(*)(C)C(=O)OCCC#N,1.24
*CC(*)(C)C(=O)OCC[N+](=O)[O-],1.354
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],1.418
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.6382
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.052
*CC(*)(CC(=O)OCC)C(=O)OCC,1.23
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,1.1
*CC(*)(Cl)C(=O)OC(C)C,1.27
*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,1.157
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.126
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,1.1
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,1.075
*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,1.24
